instance,seed,population_size,elite_percentage,mutants_percentage,num_independent_populations,edges,best_cost,opt,src,total_iterations,last_update_iteration,total_time,last_update_time,path_relink_time,path_relink_calls,num_improvements_elite,num_improvements_best
mulsol.i.3,593929,200,0.15,0.3,3,3916.0,31,31.0,REG,1001,1,247.67,0.22,42.49,5,0,0
mulsol.i.4,298329,200,0.15,0.3,3,3946.0,31,31.0,REG,1001,1,254.83,0.2,40.4,5,0,0
mulsol.i.4,394149,200,0.15,0.3,3,3946.0,31,31.0,REG,1001,1,267.74,0.23,44.34,5,0,0
mulsol.i.4,492929,200,0.15,0.3,3,3946.0,31,31.0,REG,1001,1,262.54,0.23,42.25,5,0,0
mulsol.i.4,593929,200,0.15,0.3,3,3946.0,31,31.0,REG,1001,1,273.93,0.23,43.37,5,0,0
mulsol.i.5,298329,200,0.15,0.3,3,3973.0,31,31.0,REG,1001,1,253.66,0.22,42.97,5,0,0
mulsol.i.5,394149,200,0.15,0.3,3,3973.0,31,31.0,REG,1001,1,254.75,0.21,41.6,5,0,0
mulsol.i.5,492929,200,0.15,0.3,3,3973.0,31,31.0,REG,1001,1,274.82,0.22,44.03,5,0,0
mulsol.i.5,593929,200,0.15,0.3,3,3973.0,31,31.0,REG,1001,1,246.11,0.21,39.33,5,0,0
myciel3,298329,200,0.15,0.3,3,,4,,,1001,1,0.96,0.0,0.01,5,0,0
myciel3,394149,200,0.15,0.3,3,,4,,,1001,1,0.91,0.0,0.01,5,0,0
myciel3,492929,200,0.15,0.3,3,,4,,,1001,1,0.92,0.0,0.01,5,0,0
myciel3,593929,200,0.15,0.3,3,,4,,,1001,1,0.93,0.0,0.01,5,0,0
myciel4,298329,200,0.15,0.3,3,71.0,5,5.0,MYC,1001,1,2.65,0.0,0.06,5,0,0
myciel4,394149,200,0.15,0.3,3,71.0,5,5.0,MYC,1001,1,2.73,0.0,0.05,5,0,0
myciel4,492929,200,0.15,0.3,3,71.0,5,5.0,MYC,1001,1,2.72,0.0,0.05,5,0,0
myciel4,593929,200,0.15,0.3,3,71.0,5,5.0,MYC,1001,1,2.68,0.0,0.06,5,0,0
myciel5,298329,200,0.15,0.3,3,236.0,6,6.0,MYC,1001,1,10.41,0.01,0.53,5,0,0
myciel5,394149,200,0.15,0.3,3,236.0,6,6.0,MYC,1001,1,10.39,0.01,0.45,5,0,0
myciel5,492929,200,0.15,0.3,3,236.0,6,6.0,MYC,1001,1,11.63,0.01,0.53,5,0,0
myciel5,593929,200,0.15,0.3,3,236.0,6,6.0,MYC,1001,1,10.53,0.01,0.44,5,0,0
myciel6,298329,200,0.15,0.3,3,755.0,7,7.0,MYC,1001,1,49.74,0.06,4.41,5,0,0
myciel6,394149,200,0.15,0.3,3,755.0,7,7.0,MYC,1001,1,50.56,0.07,4.5,5,0,0
myciel6,492929,200,0.15,0.3,3,755.0,7,7.0,MYC,1001,1,49.39,0.04,4.43,5,0,0
myciel6,593929,200,0.15,0.3,3,755.0,7,7.0,MYC,1001,1,48.82,0.04,4.03,5,0,0
myciel7,298329,200,0.15,0.3,3,2360.0,8,8.0,MYC,1001,1,238.58,0.19,41.04,5,0,0
